,MSRDT_DE,MSRRGN_NM,MSRSTE_NM,PM10,PM25,O3,NO2,CO,SO2
0,20211020,도심권,중구,28.0,15.0,0.015,0.029,0.5,0.003
1,20211020,도심권,종로구,27.0,17.0,0.017,0.025,0.5,0.003
2,20211020,도심권,용산구,0.0,0.0,0.0,0.0,0.0,0.0
3,20211020,서북권,은평구,23.0,16.0,0.015,0.022,0.5,0.003
4,20211020,서북권,서대문구,25.0,12.0,0.016,0.018,0.6,0.003
5,20211020,서북권,마포구,27.0,14.0,0.016,0.029,0.4,0.003
6,20211020,동북권,광진구,26.0,16.0,0.016,0.019,0.5,0.002
7,20211020,동북권,성동구,35.0,14.0,0.015,0.037,0.4,0.003
8,20211020,동북권,중랑구,26.0,13.0,0.02,0.022,0.4,0.003
9,20211020,동북권,동대문구,27.0,15.0,0.018,0.026,0.4,0.003
10,20211020,동북권,성북구,24.0,12.0,0.017,0.027,0.5,0.003
11,20211020,동북권,도봉구,26.0,14.0,0.018,0.018,0.5,0.002
12,20211020,동북권,강북구,26.0,12.0,0.02,0.015,0.4,0.002
13,20211020,동북권,노원구,25.0,16.0,0.016,0.025,0.5,0.002
14,20211020,서남권,강서구,32.0,16.0,0.013,0.027,0.5,0.004
15,20211020,서남권,구로구,30.0,13.0,0.02,0.028,0.6,0.003
16,20211020,서남권,영등포구,29.0,16.0,0.014,0.029,0.4,0.003
17,20211020,서남권,동작구,30.0,15.0,0.015,0.028,0.4,0.002
18,20211020,서남권,관악구,28.0,14.0,0.019,0.028,0.5,0.003
19,20211020,서남권,금천구,27.0,17.0,0.014,0.031,0.4,0.004
20,20211020,서남권,양천구,32.0,19.0,0.015,0.03,0.5,0.004
21,20211020,동남권,강남구,28.0,15.0,0.014,0.027,0.4,0.003
22,20211020,동남권,서초구,28.0,16.0,0.017,0.028,0.4,0.003
23,20211020,동남권,송파구,31.0,16.0,0.014,0.031,0.5,0.003
24,20211020,동남권,강동구,29.0,16.0,0.012,0.027,0.4,0.002
25,20211021,도심권,중구,31.0,17.0,0.017,0.034,0.5,0.004
26,20211021,도심권,종로구,32.0,21.0,0.016,0.034,0.5,0.003
27,20211021,도심권,용산구,0.0,0.0,0.0,0.0,0.0,0.0
28,20211021,서북권,은평구,27.0,18.0,0.019,0.025,0.5,0.003
29,20211021,서북권,서대문구,30.0,13.0,0.019,0.021,0.5,0.004
30,20211021,서북권,마포구,29.0,16.0,0.016,0.037,0.5,0.003
31,20211021,동북권,광진구,29.0,18.0,0.015,0.022,0.5,0.002
32,20211021,동북권,성동구,34.0,15.0,0.017,0.04,0.5,0.004
33,20211021,동북권,중랑구,29.0,15.0,0.023,0.024,0.4,0.003
34,20211021,동북권,동대문구,31.0,19.0,0.016,0.035,0.5,0.003
35,20211021,동북권,성북구,34.0,19.0,0.017,0.034,0.6,0.003
36,20211021,동북권,도봉구,36.0,21.0,0.016,0.025,0.5,0.003
37,20211021,동북권,강북구,34.0,18.0,0.023,0.019,0.4,0.003
38,20211021,동북권,노원구,33.0,22.0,0.019,0.028,0.5,0.003
39,20211021,서남권,강서구,35.0,19.0,0.015,0.031,0.6,0.004
40,20211021,서남권,구로구,36.0,18.0,0.02,0.032,0.6,0.003
41,20211021,서남권,영등포구,31.0,19.0,0.013,0.037,0.4,0.003
42,20211021,서남권,동작구,34.0,18.0,0.014,0.034,0.5,0.003
43,20211021,서남권,관악구,30.0,16.0,0.018,0.036,0.6,0.003
44,20211021,서남권,금천구,30.0,19.0,0.013,0.038,0.5,0.004
45,20211021,서남권,양천구,35.0,21.0,0.013,0.037,0.6,0.004
46,20211021,동남권,강남구,29.0,17.0,0.015,0.031,0.4,0.003
47,20211021,동남권,서초구,30.0,19.0,0.016,0.033,0.5,0.003
48,20211021,동남권,송파구,35.0,20.0,0.013,0.037,0.6,0.003
49,20211021,동남권,강동구,32.0,18.0,0.011,0.031,0.4,0.003
